gu	8563	2.21684
gv	1193	0.30885
gw	127	0.03288
gx	150	0.03883
gy	337	0.08724
gz	232	0.06006
gA	422	0.10925
gB	1500	0.38833
gC	475	0.12297
gD	374	0.09682
gE	407	0.10537
gF	446	0.11546
gG	176	0.04556
gH	213	0.05514
gI	2807	0.72669
gJ	101	0.02615
gK	8	0.00207
gL	385	0.09967
gM	370	0.09579
gN	283	0.07326
gO	160	0.04142
gP	311	0.08051
gQ	59	0.01527
gR	555	0.14368
gS	782	0.20245
gT	600	0.15533
gU	173	0.04479
gV	254	0.06576
gW	244	0.06317
gX	21	0.00544
gY	27	0.00699
gZ	141	0.03650
g1	1601	0.41448
g2	1521	0.39377
g3	204	0.05281
g4	114	0.02951
g5	92	0.02382
g6	54	0.01398
g7	56	0.01450
g8	67	0.01735
g9	46	0.01191
g0	291	0.07534
g`	69	0.01786
g~	61	0.01579
g!	231	0.05980
g@	53	0.01372
g#	60	0.01553
g$	655	0.16957
g%	260	0.06731
g^	41	0.01061
g&	93	0.02408
g*	218	0.05644
g(	12340	3.19466
g)	7981	2.06617
g-	2333	0.60398
g_	3161	0.81834
g=	1044	0.27028
g+	265	0.06860
g\	364	0.09423
g|	89	0.02304
g]	1588	0.41111
g}	431	0.11158
g[	2873	0.74378
g{	276	0.07145
g"	3722	0.96357
g'	1138	0.29461
g;	1962	0.50793
g:	3763	0.97419
g/	1137	0.29435
g?	197	0.05100
g.	10335	2.67559
g>	2112	0.54677
g,	6795	1.75913
g<	153	0.03961
g§	50559	13.08903
g¶	7898	2.04468
g¬	52	0.01346
ha	54250	12.36667
hb	2081	0.47438
hc	347	0.07910
hd	735	0.16755
he	123221	28.08910
hf	241	0.05494
hg	193	0.04400
hh	450	0.10258
hi	48326	11.01626
hj	31	0.00707
hk	298	0.06793
hl	1316	0.29999
hm	2684	0.61184
hn	1198	0.27309
ho	36679	8.36124
hp	774	0.17644
hq	115	0.02622
hr	11288	2.57318
hs	3528	0.80423
ht	22321	5.08823
hu	4253	0.96950
hv	181	0.04126
hw	733	0.16709
hx	134	0.03055
hy	682	0.15547
hz	34	0.00775
hA	190	0.04331
hB	219	0.04992
hC	579	0.13199
hD	267	0.06086
hE	238	0.05425
hF	341	0.07773
hG	69	0.01573
hH	150	0.03419
hI	519	0.11831
hJ	61	0.01391
hK	59	0.01345
hL	411	0.09369
hM	353	0.08047
hN	305	0.06953
hO	420	0.09574
hP	370	0.08434
hQ	60	0.01368
hR	298	0.06793
hS	524	0.11945
hT	372	0.08480
hU	34	0.00775
hV	177	0.04035
hW	421	0.09597
hX	57	0.01299
hY	9	0.00205
hZ	9	0.00205
h1	695	0.15843
h2	777	0.17712
h3	532	0.12127
h4	151	0.03442
h5	94	0.02143
h6	72	0.01641
h7	70	0.01596
h8	56	0.01277
h9	42	0.00957
h0	213	0.04855
h`	28	0.00638
h~	29	0.00661
h!	648	0.14772
h@	162	0.03693
h#	34	0.00775
h$	609	0.13883
h%	492	0.11215
h^	33	0.00752
h&	71	0.01618
h*	419	0.09551
h(	12581	2.86793
h)	6219	1.41767
h-	2829	0.64489
h_	2886	0.65788
h=	1247	0.28426
h+	373	0.08503
h\	165	0.03761
h|	179	0.04080
h]	1330	0.30318
h}	376	0.08571
h[	1251	0.28517
h{	333	0.07591
h"	3274	0.74633
h'	914	0.20835
h;	2428	0.55348
h:	2769	0.63121
h/	801	0.18259
h?	240	0.05471
h.	6431	1.46599
h>	3473	0.79170
h,	4825	1.09989
h<	212	0.04833
h§	50878	11.59800
h¶	4703	1.07208
h¬	130	0.02963
ia	24040	1.65110
ib	13996	0.96126
ic	54940	3.77334
id	44379	3.04800
ie	21993	1.51051
if	81057	5.56709
ig	50177	3.44622
ih	334	0.02294
ii	1714	0.11772
ij	804	0.05522
ik	1953	0.13413
il	68307	4.69141
im	65427	4.49360
in	429101	29.47116
io	87893	6.03659
ip	19623	1.34773
iq	1206	0.08283
ir	32448	2.22857
is	116382	7.99325
it	131344	9.02086
iu	2166	0.14876
iv	26244	1.80247
iw	325	0.02232
ix	15606	1.07184
iy	149	0.01023
iz	24037	1.65089
iA	154	0.01058
iB	160	0.01099
iC	1173	0.08056
iD	265	0.01820
iE	173	0.01188
iF	216	0.01484
iG	38	0.00261
iH	411	0.02823
iI	168	0.01154
iJ	5	0.00034
iK	40	0.00275
iL	273	0.01875
iM	201	0.01380
iN	232	0.01593
iO	78	0.00536
iP	206	0.01415
iQ	32	0.00220
iR	270	0.01854
iS	430	0.02953
iT	265	0.01820
iU	14	0.00096
iV	73	0.00501
iW	301	0.02067
iX	124	0.00852
iY	114	0.00783
iZ	1	0.00007
i1	871	0.05982
i2	832	0.05714
i3	1248	0.08571
i4	107	0.00735
i5	96	0.00659
i6	390	0.02679
i7	154	0.01058
i8	416	0.02857
i9	50	0.00343
i0	211	0.01449
i`	36	0.00247
i~	22	0.00151
i!	118	0.00810
i@	168	0.01154
i#	64	0.00440
i$	187	0.01284
i%	1701	0.11683
i^	88	0.00604
i&	115	0.00790
i*	878	0.06030
i(	2225	0.15282
i)	14679	1.00817
i-	2732	0.18764
i_	1729	0.11875
i=	4407	0.30268
i+	6803	0.46724
i\	173	0.01188
i|	552	0.03791
i]	16063	1.10323
i}	835	0.05735
i[	567	0.03894
i{	65	0.00446
i"	1753	0.12040
i'	532	0.03654
i;	2882	0.19794
i:	1964	0.13489
i/	1169	0.08029
i?	13	0.00089
i.	2803	0.19251
i>	376	0.02582
i,	11265	0.77369
i<	978	0.06717
i§	46558	3.19766
i¶	5993	0.41161
i¬	73	0.00501
ja	4488	7.70710
jb	26	0.04465
jc	82	0.14082
jd	284	0.48770
je	7542	12.95164
jf	107	0.18375
jg	56	0.09617
jh	61	0.10475
ji	289	0.49629
jj	171	0.29365
jk	576	0.98915
jl	160	0.27476
jm	251	0.43103
jn	153	0.26274
jo	5414	9.29729
jp	288	0.49457
jq	422	0.72469
jr	52	0.08930
js	872	1.49746
jt	83	0.14253
ju	3608	6.19591
jv	49	0.08415
jw	8	0.01374
jx	42	0.07213
jy	10	0.01717
jz	43	0.07384
jA	22	0.03778
jB	21	0.03606
jC	48	0.08243
jD	22	0.03778
jE	6	0.01030
jF	123	0.21122
jG	7	0.01202
jH	3	0.00515
jI	42	0.07213
jJ	5	0.00859
jK	6	0.01030
jL	19	0.03263
jM	63	0.10819
jN	9	0.01546
jO	21	0.03606
jP	28	0.04808
jQ	6	0.01030
jR	38	0.06526
jS	47	0.08071
jT	24	0.04121
jU	9	0.01546
jV	7	0.01202
jW	1	0.00172
jX	15	0.02576
jY	5	0.00859
jZ	6	0.01030
j1	174	0.29880
j2	132	0.22668
j3	40	0.06869
j4	12	0.02061
j5	3	0.00515
j6	12	0.02061
j7	0	0.00000
j8	3	0.00515
j9	2	0.00343
j0	48	0.08243
j`	8	0.01374
j~	4	0.00687
j!	52	0.08930
j@	3	0.00515
j#	11	0.01889
j$	25	0.04293
j%	485	0.83288
j^	10	0.01717
j&	12	0.02061
j*	204	0.35032
j(	214	0.36750
j)	4256	7.30870
j-	997	1.71212
j_	270	0.46366
j=	1330	2.28397
j+	1667	2.86269
j\	9	0.01546
j|	119	0.20435
j]	5211	8.94869
j}	212	0.36406
j[	93	0.15971
j{	33	0.05667
j"	133	0.22840
j'	147	0.25244
j;	610	1.04753
j:	430	0.73843
j/	65	0.11162
j?	4	0.00687
j.	442	0.75903
j>	123	0.21122
j,	2078	3.56848
j<	244	0.41901
j§	11048	18.97239
j¶	1506	2.58621
j¬	11	0.01889
ka	4039	3.07246
kb	191	0.14529
kc	138	0.10498
kd	882	0.67094
ke	35023	26.64197
kf	149	0.11334
kg	587	0.44653
kh	140	0.10650
ki	6241	4.74752
kj	91	0.06922
kk	154	0.11715
kl	1315	1.00032
km	342	0.26016
kn	2148	1.63398
ko	797	0.60628
kp	355	0.27005
kq	14	0.01065
kr	188	0.14301
ks	6266	4.76654
kt	783	0.59563
ku	1024	0.77896
kv	443	0.33699
kw	447	0.34003
kx	53	0.04032
ky	492	0.37426
kz	45	0.03423
kA	252	0.19170
kB	225	0.17116
kC	463	0.35220
kD	355	0.27005
kE	142	0.10802
kF	144	0.10954
kG	30	0.02282
kH	85	0.06466
kI	313	0.23810
kJ	7	0.00532
kK	18	0.01369
kL	294	0.22365
kM	229	0.17420
kN	145	0.11030
kO	93	0.07075
kP	357	0.27157
kQ	9	0.00685
kR	141	0.10726
kS	856	0.65116
kT	363	0.27613
kU	41	0.03119
kV	121	0.09204
kW	144	0.10954
kX	4	0.00304
kY	5	0.00380
kZ	9	0.00685
k1	533	0.40545
k2	565	0.42980
k3	229	0.17420
k4	218	0.16583
k5	47	0.03575
k6	53	0.04032
k7	29	0.02206
k8	54	0.04108
k9	11	0.00837
k0	83	0.06314
k`	57	0.04336
k~	44	0.03347
k!	217	0.16507
k@	22	0.01674
k#	45	0.03423
k$	337	0.25636
k%	290	0.22060
k^	30	0.02282
k&	23	0.01750
k*	234	0.17800
k(	5655	4.30175
k)	5089	3.87120
k-	1437	1.09312
k_	2389	1.81731
k=	1076	0.81851
k+	726	0.55227
k\	66	0.05021
k|	103	0.07835
k]	2100	1.59747
k}	368	0.27994
k[	929	0.70669
k{	44	0.03347
k"	1533	1.16615
k'	550	0.41838
k;	2662	2.02498
k:	1351	1.02770
k/	326	0.24799
k?	61	0.04640
k.	3449	2.62365
k>	177	0.13464
k,	3742	2.84654
k<	267	0.20311
k§	21468	16.33069
k¶	5544	4.21732
k¬	33	0.02510
la	65441	7.32420
lb	1991	0.22283
lc	4079	0.45652
ld	21423	2.39768
le	207423	23.21492
lf	10202	1.14181
lg	2586	0.28943
lh	697	0.07801
li	92518	10.35468
lj	119	0.01332
lk	1635	0.18299
ll	61022	6.82962
lm	1664	0.18624
ln	18996	2.12605
lo	80872	9.05125
lp	3686	0.41254
lq	163	0.01824
lr	1841	0.20605
ls	49367	5.52519
lt	32093	3.59187
lu	46200	5.17073
lv	5097	0.57046
lw	865	0.09681
lx	388	0.04343
ly	16377	1.83292
lz	221	0.02473
lA	807	0.09032
lB	459	0.05137
lC	1296	0.14505
lD	607	0.06794
lE	401	0.04488
lF	446	0.04992
lG	234	0.02619
lH	216	0.02417
lI	475	0.05316
lJ	8	0.00090
lK	47	0.00526
lL	516	0.05775
lM	614	0.06872
lN	345	0.03861
lO	578	0.06469
lP	730	0.08170
lQ	44	0.00492
lR	665	0.07443
lS	1518	0.16990
lT	841	0.09413
lU	56	0.00627
lV	463	0.05182
